distribution,name,estimator,sample_power,mse,kl,cpu_time,fail,lagrange
Trimodal-Normal,"Tri-Modal-Normal",NMEM,2048,0.000401121674318552,0.00907612257875117,0.240000000000009,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,2048,0.0001928294715265,0.00513212254864152,0.220000000000027,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,2048,0.000503501396434184,0.0111142928873643,0.200000000000045,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,2048,0.000468825170699379,0.0107349175287045,0.299999999999955,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,4096,0.000153636124520983,0.00606186855753534,0.230000000000018,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,4096,9.16122842124638e-05,0.0041000343027952,0.339999999999918,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,4096,8.8219570955838e-05,0.00430543406770064,0.300000000000068,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,4096,0.000101411133723237,0.005533839538624,0.399999999999977,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,4096,5.42244804883987e-05,0.00284759759291284,0.25,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,8192,2.96573298420988e-05,0.00279439686108691,0.300000000000068,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,8192,1.64706228575782e-05,0.0019524941762931,0.409999999999968,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,8192,1.88382550239109e-05,0.00190036290134913,0.400000000000091,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,8192,2.31318169207046e-05,0.00251596989813195,0.449999999999932,0,1
Trimodal-Normal,"Tri-Modal-Normal",NMEM,8192,1.5612164878689e-05,0.00180081439940184,0.290000000000077,0,1
Normal,"Normal",NSE,256,9.08654745434718,0.25888198496644,0.0400000000000773,0,6
Normal,"Normal",NSE,256,74.6620829614203,Inf,0.17999999999995,1,4
Normal,"Normal",NSE,256,25.1123043332513,0.0933602532616419,0.0399999999999636,0,3
Normal,"Normal",NSE,256,20.310015336594,0.117478066031258,0.0599999999999454,0,4
Normal,"Normal",NSE,256,7.35315809845241,0.240956423206571,0.0199999999999818,0,4
Normal,"Normal",NSE,512,0.846506842083715,0.0170788570478928,0.0299999999999727,0,3
Normal,"Normal",NSE,512,1.14208941600388,0.0311196556118365,0.0300000000000864,0,4
Normal,"Normal",NSE,512,6.94629641836022,0.0895920154903346,0.0499999999999545,0,4
Normal,"Normal",NSE,512,0.843240088467583,0.0101068853784664,0.0299999999999727,0,3
Normal,"Normal",NSE,512,0.313745926703448,0.0626379552772396,0.0299999999999727,0,3
Normal,"Normal",NSE,1024,11.7525870703306,0.100253683057614,0.129999999999995,0,3
Normal,"Normal",NSE,1024,3.18485723419947,0.0665641807122861,0.0399999999999636,0,3
Normal,"Normal",NSE,1024,1.1233443762657,0.0358103701222622,0.0500000000000682,0,4
Normal,"Normal",NSE,1024,1.33369104757979,0.089283885458041,0.170000000000073,0,3
Normal,"Normal",NSE,1024,0.389481286495123,0.0430616095073844,0.0299999999999727,0,3
Normal,"Normal",NSE,2048,0.222688689608996,0.0187901343038036,0.0800000000000409,0,3
Normal,"Normal",NSE,2048,0.226426622937197,0.0266719746833089,0.0499999999999545,0,3
Normal,"Normal",NSE,2048,0.109798845903058,0.00793097103475604,0.0599999999999454,0,3
Normal,"Normal",NSE,2048,1.78371737966678,0.0559682410646021,0.110000000000014,0,4
Normal,"Normal",NSE,2048,0.32544404226043,0.032571259970054,0.120000000000005,0,4
Normal,"Normal",NSE,4096,0.623491758124533,0.0228552239070971,0.149999999999977,0,4
Normal,"Normal",NSE,4096,0.0644796469776557,0.0158177036161782,0.129999999999995,0,3
Normal,"Normal",NSE,4096,0.877450436844165,0.0290222202013919,0.199999999999932,0,4
Normal,"Normal",NSE,4096,1.14872303597372,0.0855316302331667,0.110000000000014,0,6
Normal,"Normal",NSE,4096,0.0702914757823491,0.0174488062575345,0.110000000000014,0,4
Normal,"Normal",NSE,8192,0.311040003488343,0.0321419332050241,0.229999999999905,0,3
Normal,"Normal",NSE,8192,0.655283006257492,0.0320578920949116,0.180000000000064,0,6
Normal,"Normal",NSE,8192,0.286800515871023,0.0623704253652485,0.239999999999895,0,3
Normal,"Normal",NSE,8192,0.583488360128122,0.0508815299431973,0.269999999999982,0,4
Normal,"Normal",NSE,8192,0.685454796526092,0.0363693034701034,0.220000000000027,0,4
Normal,"Normal",NMEM,256,0.000871044874168756,0.00321074140530163,0.0299999999999727,0,1
Normal,"Normal",NMEM,256,0.000934527562247907,0.00297472831544768,0.00999999999999091,0,1
Normal,"Normal",NMEM,256,0.000361997058014576,0.0015623883228463,0.00999999999999091,0,1
Normal,"Normal",NMEM,256,0.000613622802160542,0.0026556635782439,0.0400000000000773,0,1
Normal,"Normal",NMEM,256,0.00248770616478416,0.00944980024946893,0.0299999999999727,0,1
Normal,"Normal",NMEM,512,0.000724594838465088,0.00644381160886982,0.0200000000000955,0,1
Normal,"Normal",NMEM,512,0.000632481689171051,0.00538978753677731,0.0199999999999818,0,1
Normal,"Normal",NMEM,512,0.00014351305362089,0.00130177533657829,0.00999999999999091,0,1
Normal,"Normal",NMEM,512,4.99383176086006e-05,0.00050735042040328,0.00999999999999091,0,1
Normal,"Normal",NMEM,512,7.20906133076724e-05,0.000647436549684073,0.00999999999999091,0,1
Normal,"Normal",NMEM,1024,0.000144000712332707,0.00371329734870131,0.0199999999999818,0,1
Normal,"Normal",NMEM,1024,7.08763505157654e-05,0.00155219737101583,0.0300000000000864,0,1
Normal,"Normal",NMEM,1024,3.85855038389228e-05,0.000889285257058817,0.0199999999999818,0,1
Normal,"Normal",NMEM,1024,1.73463406893044e-05,0.000422748458183516,0.00999999999999091,0,1
Normal,"Normal",NMEM,1024,6.93773276152981e-05,0.00127639972487262,0.0799999999999272,0,1
Normal,"Normal",NMEM,2048,2.21561704111773e-06,9.33982862864183e-05,0.0199999999999818,0,1
Normal,"Normal",NMEM,2048,1.40487083903378e-05,0.000488280538236987,0.0600000000000591,0,1
Normal,"Normal",NMEM,2048,1.9403056510585e-05,0.000785720106648672,0.0199999999999818,0,1
Normal,"Normal",NMEM,2048,5.91092470556897e-06,0.00024093939622327,0.0199999999999818,0,1
Normal,"Normal",NMEM,2048,1.51987487375583e-06,6.58729950497042e-05,0.0299999999999727,0,1
Normal,"Normal",NMEM,4096,5.38762262471846e-06,0.000463980521459941,0.0199999999999818,0,1
Normal,"Normal",NMEM,4096,2.1586768080841e-06,0.000159464724807762,0.0199999999999818,0,1
Normal,"Normal",NMEM,4096,8.76235172738938e-07,6.56588232128193e-05,0.0199999999999818,0,1
Normal,"Normal",NMEM,4096,5.30033450684786e-06,0.000453006585629551,0.07000000000005,0,1
Normal,"Normal",NMEM,4096,3.76204667598143e-07,3.22537975657958e-05,0.0199999999999818,0,1
Normal,"Normal",NMEM,8192,1.09213954876659e-07,1.48781191181171e-05,0.0300000000000864,0,1
Normal,"Normal",NMEM,8192,1.97614839639538e-07,2.87080422952691e-05,0.0199999999999818,0,1
Normal,"Normal",NMEM,8192,1.4209545268234e-06,0.000215504668469532,0.0300000000000864,0,1
Normal,"Normal",NMEM,8192,1.2011495192644e-06,0.000187835547917785,0.0299999999999727,0,1
Normal,"Normal",NMEM,8192,2.42184619560134e-07,3.61072780498888e-05,0.0399999999999636,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,256,33084198.8366029,0.354738271106205,0.0299999999999727,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,256,7673408.87281009,0.307821510422226,0.0399999999999636,0,3
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,256,96860908211.1174,1.90716608899065,0.169999999999959,1,100
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,256,85012.3958434421,0.251967518307761,0.0300000000000864,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,256,38715.3063867931,0.170302472935232,0.0600000000000591,0,3
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,512,1869565.17627687,0.702672632166733,0.0400000000000773,0,4
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,512,1830417.3663464,0.352832410031553,0.0200000000000955,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,512,4916497455.52187,0.783432447990827,0.0599999999999454,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,512,26522564.0214711,0.578212265636799,0.0500000000000682,0,4
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,512,506557.759376542,0.453962647540318,0.0199999999999818,0,4
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,1024,8909940.68031261,0.523848441922891,0.0399999999999636,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,1024,10986269.0822095,0.57249587461111,0.0799999999999272,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,1024,95992309.1665208,0.754536127796133,0.0500000000000682,0,3
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,1024,14219877.7126191,0.498905807777759,0.0399999999999636,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,1024,3773172.40239983,0.627320619222927,0.0300000000000864,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,2048,1707851.83556102,0.312800050883399,0.0600000000000591,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,2048,9902227.80407352,0.62194138376525,0.0800000000000409,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,2048,50979511.6307776,0.452776173631016,0.0500000000000682,0,6
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,2048,2407435448.67687,0.809849991916561,0.0999999999999091,0,4
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,2048,234148353.047492,0.618346385079686,0.0600000000000591,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,4096,9587304.53054909,0.306163147279466,0.120000000000005,0,16
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,4096,8258393535.14431,0.660341749780224,0.120000000000005,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,4096,20625053.9238336,0.523189833978895,0.100000000000023,0,10
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,4096,3012816566.69478,0.525300648947676,0.129999999999995,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,4096,8620006.44002739,0.711667668812699,0.230000000000018,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,8192,899172.476959607,0.351708028473918,0.25,0,20
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,8192,595244845.559938,0.62238699926847,0.240000000000009,0,12
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,8192,11383446932.2803,0.597627528990595,0.220000000000027,0,10
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,8192,112193234.797555,0.477909815299449,0.229999999999905,0,18
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NSE,8192,19935885.5610391,0.80822639936815,0.319999999999936,0,8
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,256,5648.3662484543,1.09743886630761,0.0900000000000318,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,256,6973.94412971613,1.32676905996497,0.100000000000023,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,256,1209.4460846534,0.672134993466379,0.0599999999999454,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,256,29829.3406253097,1.8194869030417,0.0899999999999181,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,256,29.0365881252478,0.133937301669596,0.0399999999999636,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,512,20836.8805008055,1.63687019246017,0.149999999999977,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,512,2559.17874656568,0.772155103555825,0.139999999999986,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,512,1953.25936466129,0.556374977186856,0.240000000000009,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,512,9052.59031167619,1.12796977679952,0.17999999999995,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,512,11812.5483156131,1.95413558587019,0.120000000000005,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,1024,102272.623850279,2.90861372709833,0.190000000000055,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,1024,276.034025183264,0.445816714510597,0.190000000000055,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,1024,135.66450248316,0.451397527927073,0.149999999999977,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,1024,1302024.42642642,3.40954006187441,0.17999999999995,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,1024,17310.0558618763,2.2903559059514,0.139999999999986,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,2048,89.9012873854071,0.334896391306442,0.299999999999955,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,2048,169064.465678804,3.04033644575686,0.309999999999945,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,2048,528.742177165617,0.768578453169907,0.289999999999964,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,2048,458.580802076515,0.687741623158766,0.300000000000068,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,2048,83760.1427962459,2.71132497013424,0.439999999999941,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,4096,1149.75571099156,1.13896049498185,0.550000000000068,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,4096,7232.30748148937,1.639397260522,0.939999999999941,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,4096,7614.21938458221,1.73414932308816,0.830000000000041,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,4096,7617.64922548145,1.9233242523033,0.519999999999982,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,4096,43539.197815408,2.67822137100994,0.639999999999986,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,8192,9863.99761934982,1.91843908371971,1.72000000000003,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,8192,110417.894957193,2.62918868051473,1.73000000000002,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,8192,149010.19051653,2.612721474823,1.57999999999993,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,8192,166943.48797019,2.44300335658985,1.54000000000008,0,1
Beta-a0p5-b1p5,"Beta(0.5,1.5)",NMEM,8192,11123.9758070035,2.17571437049838,1.44000000000005,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NSE,256,3473877.72122302,0.502312944841099,0.0800000000000409,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,256,1587279.25229531,0.409808601622362,0.0599999999999454,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,256,1317920.37290568,0.440838208739441,0.220000000000027,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,256,82467058480124.5,3.36532084646311,0.139999999999986,1,14
Beta-a2-b0p5,"Beta(2,0.5)",NSE,256,335924.828073051,0.377895644372045,0.120000000000005,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,512,101732883.329459,0.991783221430027,0.0899999999999181,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,512,10680676.3957252,0.39668017501699,0.0499999999999545,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,512,277558597.799417,1.02070488220549,0.180000000000064,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,512,15743444481857.4,2.39759795800895,0.0600000000000591,0,44
Beta-a2-b0p5,"Beta(2,0.5)",NSE,512,54885.423565193,0.137042748497018,0.150000000000091,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,1024,237618.204638508,0.434851509815282,0.07000000000005,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,1024,876796820.954601,1.02818553187321,0.0699999999999363,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,1024,2741856.19907235,0.76555482181605,0.0299999999999727,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,1024,2181165.84555637,0.550387541525906,0.0400000000000773,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,1024,488239612.834002,0.824273870019941,0.0699999999999363,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,2048,853531.728428433,0.600669908145357,0.0699999999999363,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,2048,492847.712224771,0.514078137308463,0.110000000000014,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,2048,1584922.95978315,0.73546799391271,0.0600000000000591,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,2048,266756569.996525,0.940394134017833,0.100000000000023,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,2048,29465385.2039825,0.90846183164656,0.100000000000023,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,4096,45273177.6719513,0.879823761350357,0.120000000000005,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,4096,49084405.3079769,0.70698345118808,0.200000000000045,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,4096,152914.965042736,0.501796899997555,0.0900000000000318,0,3
Beta-a2-b0p5,"Beta(2,0.5)",NSE,4096,13231516.1569655,0.663624265807028,0.110000000000014,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,4096,552206453.630476,0.975844638946261,0.149999999999977,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,8192,173581012.662314,0.984585313857624,0.259999999999991,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,8192,11380034.7286253,0.731952944110455,0.240000000000009,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,8192,148905624.779067,0.918573267105078,0.290000000000077,0,4
Beta-a2-b0p5,"Beta(2,0.5)",NSE,8192,54032.0400469101,0.332979607132241,0.259999999999991,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NSE,8192,416626.687532103,0.673355021424204,0.25,0,6
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,256,1424.8467030937,0.53036616986583,0.0900000000000318,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,256,2084.33895656132,0.74932517836331,0.07000000000005,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,256,517.06909904569,0.505669499002905,0.210000000000036,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,256,18406.7371149085,1.00900149922679,0.149999999999977,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,256,122.250267916361,0.170434361040048,0.0799999999999272,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,512,491.250942769894,0.309163301188323,0.170000000000073,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,512,185.191209049307,0.222488078475606,0.1400000000001,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,512,675.66530015856,0.319764674661692,0.209999999999923,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,512,1068.96563846783,0.485390250032526,0.159999999999968,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,512,185.422902370799,0.215826866424481,0.219999999999914,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,1024,124.425453723293,0.17159164318969,0.469999999999914,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,1024,146.933109635022,0.232805360540782,0.300000000000068,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,1024,148.695900258388,0.380542340756208,0.129999999999995,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,1024,154.606974438392,0.279911346154855,0.169999999999959,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,1024,206.663011996465,0.298263705717076,0.230000000000018,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,2048,9183.86437985929,1.36464529689016,0.580000000000041,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,2048,1858.20317161214,0.91103214397987,0.409999999999968,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,2048,1756093.73090237,3.49468109751337,0.350000000000023,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,2048,514.615378817994,0.561691586213671,0.440000000000055,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,2048,2119.3161659827,0.903073528696894,0.549999999999955,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,4096,318.687663068384,0.372921108565596,1.21000000000004,0,1
Beta-a2-b0p5,"Beta(2,0.5)",NMEM,4096,68.0305877083133,0.231142461970076,0.720000000000027,0,1
